,latitude,longitude,date of prediction,lead time,predicted precip,time,precip
13174,7.0,80.0,1991-06-01,10.5,5.7841144,1992-04-01,49.654644
13175,7.0,80.0,1991-06-01,11.5,10.084959,1992-05-01,338.20386
13176,7.0,80.0,1991-07-01,0.5,8.673829,1991-07-01,96.55707
13177,7.0,80.0,1991-07-01,1.5,7.786836,1991-08-01,123.563995
13178,7.0,80.0,1991-07-01,2.5,6.755925,1991-09-01,122.066925
13179,7.0,80.0,1991-07-01,3.5,6.6518493,1991-10-01,374.00192
13180,7.0,80.0,1991-07-01,4.5,7.293452,1991-11-01,249.94289
13181,7.0,80.0,1991-07-01,5.5,6.1034203,1991-12-01,102.773605
13182,7.0,80.0,1991-07-01,6.5,2.3579187,1992-01-01,35.286034
13183,7.0,80.0,1991-07-01,7.5,1.482013,1992-02-01,10.805798
13184,7.0,80.0,1991-07-01,8.5,1.9945322,1992-03-01,12.294237
13185,7.0,80.0,1991-07-01,9.5,5.6401987,1992-04-01,49.654644
13186,7.0,80.0,1991-07-01,10.5,11.17053,1992-05-01,338.20386
13187,7.0,80.0,1991-07-01,11.5,7.9654045,1992-06-01,387.72357
13188,7.0,80.0,1991-08-01,0.5,5.8270745,1991-08-01,123.563995
13189,7.0,80.0,1991-08-01,1.5,5.0149374,1991-09-01,122.066925
13190,7.0,80.0,1991-08-01,2.5,5.812417,1991-10-01,374.00192
13191,7.0,80.0,1991-08-01,3.5,6.6901803,1991-11-01,249.94289
13192,7.0,80.0,1991-08-01,4.5,5.4604473,1991-12-01,102.773605
13193,7.0,80.0,1991-08-01,5.5,2.6409798,1992-01-01,35.286034
13194,7.0,80.0,1991-08-01,6.5,1.9116437,1992-02-01,10.805798
13195,7.0,80.0,1991-08-01,7.5,1.6989759,1992-03-01,12.294237
13196,7.0,80.0,1991-08-01,8.5,4.9084234,1992-04-01,49.654644
13197,7.0,80.0,1991-08-01,9.5,10.007252,1992-05-01,338.20386
13198,7.0,80.0,1991-08-01,10.5,7.6970673,1992-06-01,387.72357
13199,7.0,80.0,1991-08-01,11.5,5.623057,1992-07-01,127.15625
13200,7.0,80.0,1991-09-01,0.5,2.7230277,1991-09-01,122.066925
13201,7.0,80.0,1991-09-01,1.5,4.344943,1991-10-01,374.00192
13202,7.0,80.0,1991-09-01,2.5,5.9216514,1991-11-01,249.94289
13203,7.0,80.0,1991-09-01,3.5,5.8193693,1991-12-01,102.773605
13204,7.0,80.0,1991-09-01,4.5,3.8803506,1992-01-01,35.286034
13205,7.0,80.0,1991-09-01,5.5,2.8119583,1992-02-01,10.805798
13206,7.0,80.0,1991-09-01,6.5,2.4831085,1992-03-01,12.294237
13207,7.0,80.0,1991-09-01,7.5,5.1417804,1992-04-01,49.654644
13208,7.0,80.0,1991-09-01,8.5,9.027406,1992-05-01,338.20386
13209,7.0,80.0,1991-09-01,9.5,6.963008,1992-06-01,387.72357
13210,7.0,80.0,1991-09-01,10.5,6.267251,1992-07-01,127.15625
13211,7.0,80.0,1991-09-01,11.5,4.317868,1992-08-01,76.02114
13212,7.0,80.0,1991-10-01,0.5,4.680684,1991-10-01,374.00192
13213,7.0,80.0,1991-10-01,1.5,5.6161523,1991-11-01,249.94289
13214,7.0,80.0,1991-10-01,2.5,5.498883,1991-12-01,102.773605
13215,7.0,80.0,1991-10-01,3.5,3.704419,1992-01-01,35.286034
13216,7.0,80.0,1991-10-01,4.5,2.296119,1992-02-01,10.805798
13217,7.0,80.0,1991-10-01,5.5,3.475317,1992-03-01,12.294237
13218,7.0,80.0,1991-10-01,6.5,5.5695734,1992-04-01,49.654644
13219,7.0,80.0,1991-10-01,7.5,10.770354,1992-05-01,338.20386
13220,7.0,80.0,1991-10-01,8.5,7.88692,1992-06-01,387.72357
13221,7.0,80.0,1991-10-01,9.5,6.1014414,1992-07-01,127.15625
13222,7.0,80.0,1991-10-01,10.5,4.640486,1992-08-01,76.02114
13223,7.0,80.0,1991-10-01,11.5,3.8664978,1992-09-01,232.5321
13224,7.0,80.0,1991-11-01,0.5,5.126425,1991-11-01,249.94289
13225,7.0,80.0,1991-11-01,1.5,5.7460318,1991-12-01,102.773605
13226,7.0,80.0,1991-11-01,2.5,2.9698486,1992-01-01,35.286034
13227,7.0,80.0,1991-11-01,3.5,2.4177356,1992-02-01,10.805798
13228,7.0,80.0,1991-11-01,4.5,2.680337,1992-03-01,12.294237
13229,7.0,80.0,1991-11-01,5.5,6.8461714,1992-04-01,49.654644
13230,7.0,80.0,1991-11-01,6.5,10.786742,1992-05-01,338.20386
13231,7.0,80.0,1991-11-01,7.5,7.9481497,1992-06-01,387.72357
13232,7.0,80.0,1991-11-01,8.5,5.915938,1992-07-01,127.15625
13233,7.0,80.0,1991-11-01,9.5,3.549883,1992-08-01,76.02114
13234,7.0,80.0,1991-11-01,10.5,2.7115273,1992-09-01,232.5321
13235,7.0,80.0,1991-11-01,11.5,3.6134021,1992-10-01,313.9292
13236,7.0,80.0,1991-12-01,0.5,4.5671754,1991-12-01,102.773605
13237,7.0,80.0,1991-12-01,1.5,2.5166254,1992-01-01,35.286034
13238,7.0,80.0,1991-12-01,2.5,1.402991,1992-02-01,10.805798
13239,7.0,80.0,1991-12-01,3.5,1.6930969,1992-03-01,12.294237
13240,7.0,80.0,1991-12-01,4.5,5.7438498,1992-04-01,49.654644
13241,7.0,80.0,1991-12-01,5.5,11.067022,1992-05-01,338.20386
13242,7.0,80.0,1991-12-01,6.5,8.319336,1992-06-01,387.72357
13243,7.0,80.0,1991-12-01,7.5,4.980648,1992-07-01,127.15625
13244,7.0,80.0,1991-12-01,8.5,3.6219573,1992-08-01,76.02114
13245,7.0,80.0,1991-12-01,9.5,3.262156,1992-09-01,232.5321
13246,7.0,80.0,1991-12-01,10.5,3.8684585,1992-10-01,313.9292
13247,7.0,80.0,1991-12-01,11.5,5.3585825,1992-11-01,388.72638
13248,7.0,80.0,1992-01-01,0.5,3.6614602,1992-01-01,35.286034
13249,7.0,80.0,1992-01-01,1.5,0.58901274,1992-02-01,10.805798
13250,7.0,80.0,1992-01-01,2.5,1.0402077,1992-03-01,12.294237
13251,7.0,80.0,1992-01-01,3.5,4.4600973,1992-04-01,49.654644
13252,7.0,80.0,1992-01-01,4.5,11.823686,1992-05-01,338.20386
13253,7.0,80.0,1992-01-01,5.5,7.993066,1992-06-01,387.72357
13254,7.0,80.0,1992-01-01,6.5,4.793461,1992-07-01,127.15625
13255,7.0,80.0,1992-01-01,7.5,3.0100036,1992-08-01,76.02114
13256,7.0,80.0,1992-01-01,8.5,3.0279212,1992-09-01,232.5321
13257,7.0,80.0,1992-01-01,9.5,3.8622684,1992-10-01,313.9292
13258,7.0,80.0,1992-01-01,10.5,5.385724,1992-11-01,388.72638
13259,7.0,80.0,1992-01-01,11.5,4.8491135,1992-12-01,72.12979
13260,7.0,80.0,1992-02-01,0.5,2.1754794,1992-02-01,10.805798
13261,7.0,80.0,1992-02-01,1.5,0.8650177,1992-03-01,12.294237
13262,7.0,80.0,1992-02-01,2.5,4.2208877,1992-04-01,49.654644
13263,7.0,80.0,1992-02-01,3.5,11.248082,1992-05-01,338.20386
13264,7.0,80.0,1992-02-01,4.5,10.0771475,1992-06-01,387.72357
13265,7.0,80.0,1992-02-01,5.5,5.4184294,1992-07-01,127.15625
13266,7.0,80.0,1992-02-01,6.5,3.3415828,1992-08-01,76.02114
13267,7.0,80.0,1992-02-01,7.5,3.5664792,1992-09-01,232.5321
13268,7.0,80.0,1992-02-01,8.5,4.483804,1992-10-01,313.9292
13269,7.0,80.0,1992-02-01,9.5,5.9850106,1992-11-01,388.72638
13270,7.0,80.0,1992-02-01,10.5,4.7355857,1992-12-01,72.12979
13271,7.0,80.0,1992-02-01,11.5,2.7082038,1993-01-01,85.341324
13272,7.0,80.0,1992-03-01,0.5,0.88441217,1992-03-01,12.294237
13273,7.0,80.0,1992-03-01,1.5,2.9526458,1992-04-01,49.654644
13274,7.0,80.0,1992-03-01,2.5,11.030703,1992-05-01,338.20386
13275,7.0,80.0,1992-03-01,3.5,11.371617,1992-06-01,387.72357
13276,7.0,80.0,1992-03-01,4.5,6.5122385,1992-07-01,127.15625
13277,7.0,80.0,1992-03-01,5.5,3.7727706,1992-08-01,76.02114
13278,7.0,80.0,1992-03-01,6.5,3.275235,1992-09-01,232.5321
13279,7.0,80.0,1992-03-01,7.5,5.222291,1992-10-01,313.9292
13280,7.0,80.0,1992-03-01,8.5,4.5225534,1992-11-01,388.72638
13281,7.0,80.0,1992-03-01,9.5,4.601372,1992-12-01,72.12979
13282,7.0,80.0,1992-03-01,10.5,2.0735636,1993-01-01,85.341324
13283,7.0,80.0,1992-03-01,11.5,1.6667601,1993-02-01,17.861618
13284,7.0,80.0,1992-04-01,0.5,2.8856788,1992-04-01,49.654644
13285,7.0,80.0,1992-04-01,1.5,9.593408,1992-05-01,338.20386
13286,7.0,80.0,1992-04-01,2.5,13.576248,1992-06-01,387.72357
13287,7.0,80.0,1992-04-01,3.5,8.311438,1992-07-01,127.15625
13288,7.0,80.0,1992-04-01,4.5,5.0884566,1992-08-01,76.02114
13289,7.0,80.0,1992-04-01,5.5,4.915517,1992-09-01,232.5321
13290,7.0,80.0,1992-04-01,6.5,5.7832108,1992-10-01,313.9292
13291,7.0,80.0,1992-04-01,7.5,6.1221833,1992-11-01,388.72638
13292,7.0,80.0,1992-04-01,8.5,4.648268,1992-12-01,72.12979
13293,7.0,80.0,1992-04-01,9.5,3.2215266,1993-01-01,85.341324
13294,7.0,80.0,1992-04-01,10.5,1.6996396,1993-02-01,17.861618
13295,7.0,80.0,1992-04-01,11.5,1.5841267,1993-03-01,75.33576
13296,7.0,80.0,1992-05-01,0.5,10.129722,1992-05-01,338.20386
13297,7.0,80.0,1992-05-01,1.5,13.894137,1992-06-01,387.72357
13298,7.0,80.0,1992-05-01,2.5,9.940512,1992-07-01,127.15625
13299,7.0,80.0,1992-05-01,3.5,5.852977,1992-08-01,76.02114
13300,7.0,80.0,1992-05-01,4.5,4.7709265,1992-09-01,232.5321
13301,7.0,80.0,1992-05-01,5.5,5.5347323,1992-10-01,313.9292
13302,7.0,80.0,1992-05-01,6.5,6.3666086,1992-11-01,388.72638
13303,7.0,80.0,1992-05-01,7.5,5.287488,1992-12-01,72.12979
13304,7.0,80.0,1992-05-01,8.5,2.7884002,1993-01-01,85.341324
13305,7.0,80.0,1992-05-01,9.5,1.913099,1993-02-01,17.861618
13306,7.0,80.0,1992-05-01,10.5,1.7909806,1993-03-01,75.33576
13307,7.0,80.0,1992-05-01,11.5,6.5606065,1993-04-01,127.469574
13308,7.0,80.0,1992-06-01,0.5,14.857187,1992-06-01,387.72357
13309,7.0,80.0,1992-06-01,1.5,10.052872,1992-07-01,127.15625
13310,7.0,80.0,1992-06-01,2.5,6.129896,1992-08-01,76.02114
13311,7.0,80.0,1992-06-01,3.5,4.907464,1992-09-01,232.5321
13312,7.0,80.0,1992-06-01,4.5,5.90848,1992-10-01,313.9292
13313,7.0,80.0,1992-06-01,5.5,6.163329,1992-11-01,388.72638
13314,7.0,80.0,1992-06-01,6.5,4.7362204,1992-12-01,72.12979
13315,7.0,80.0,1992-06-01,7.5,3.7374008,1993-01-01,85.341324
13316,7.0,80.0,1992-06-01,8.5,1.7570442,1993-02-01,17.861618
13317,7.0,80.0,1992-06-01,9.5,2.4249525,1993-03-01,75.33576
13318,7.0,80.0,1992-06-01,10.5,5.96138,1993-04-01,127.469574
13319,7.0,80.0,1992-06-01,11.5,9.500193,1993-05-01,435.90488
13320,7.0,80.0,1992-07-01,0.5,5.845849,1992-07-01,127.15625
13321,7.0,80.0,1992-07-01,1.5,5.159018,1992-08-01,76.02114
13322,7.0,80.0,1992-07-01,2.5,4.475401,1992-09-01,232.5321
13323,7.0,80.0,1992-07-01,3.5,5.3232956,1992-10-01,313.9292
13324,7.0,80.0,1992-07-01,4.5,6.223967,1992-11-01,388.72638
13325,7.0,80.0,1992-07-01,5.5,6.2177353,1992-12-01,72.12979
13326,7.0,80.0,1992-07-01,6.5,3.503287,1993-01-01,85.341324
13327,7.0,80.0,1992-07-01,7.5,2.6640525,1993-02-01,17.861618
13328,7.0,80.0,1992-07-01,8.5,2.1750147,1993-03-01,75.33576
13329,7.0,80.0,1992-07-01,9.5,5.6746945,1993-04-01,127.469574
13330,7.0,80.0,1992-07-01,10.5,8.0131035,1993-05-01,435.90488
13331,7.0,80.0,1992-07-01,11.5,6.676036,1993-06-01,185.26366
13332,7.0,80.0,1992-08-01,0.5,3.2972627,1992-08-01,76.02114
13333,7.0,80.0,1992-08-01,1.5,3.4427314,1992-09-01,232.5321
13334,7.0,80.0,1992-08-01,2.5,4.7578754,1992-10-01,313.9292
13335,7.0,80.0,1992-08-01,3.5,5.2478666,1992-11-01,388.72638
13336,7.0,80.0,1992-08-01,4.5,5.152124,1992-12-01,72.12979
13337,7.0,80.0,1992-08-01,5.5,3.8098416,1993-01-01,85.341324
13338,7.0,80.0,1992-08-01,6.5,3.647977,1993-02-01,17.861618
13339,7.0,80.0,1992-08-01,7.5,2.239263,1993-03-01,75.33576
13340,7.0,80.0,1992-08-01,8.5,4.6072435,1993-04-01,127.469574
13341,7.0,80.0,1992-08-01,9.5,8.032007,1993-05-01,435.90488
13342,7.0,80.0,1992-08-01,10.5,7.089235,1993-06-01,185.26366
13343,7.0,80.0,1992-08-01,11.5,5.8017364,1993-07-01,164.74069
13344,7.0,80.0,1992-11-01,0.5,6.0784516,1992-11-01,388.72638
13345,7.0,80.0,1992-11-01,1.5,6.0054417,1992-12-01,72.12979
13346,7.0,80.0,1992-11-01,2.5,4.327153,1993-01-01,85.341324
13347,7.0,80.0,1992-11-01,3.5,2.828158,1993-02-01,17.861618
13348,7.0,80.0,1992-11-01,4.5,2.816749,1993-03-01,75.33576
13349,7.0,80.0,1992-11-01,5.5,6.256215,1993-04-01,127.469574
13350,7.0,80.0,1992-11-01,6.5,9.352149,1993-05-01,435.90488
13351,7.0,80.0,1992-11-01,7.5,7.0641556,1993-06-01,185.26366
13352,7.0,80.0,1992-11-01,8.5,7.2881403,1993-07-01,164.74069
13353,7.0,80.0,1992-11-01,9.5,5.797965,1993-08-01,53.831776
13354,7.0,80.0,1992-11-01,10.5,5.049612,1993-09-01,170.62268
13355,7.0,80.0,1992-11-01,11.5,4.398983,1993-10-01,414.66095
13356,7.0,80.0,1992-12-01,0.5,5.561483,1992-12-01,72.12979
13357,7.0,80.0,1992-12-01,1.5,3.886959,1993-01-01,85.341324
13358,7.0,80.0,1992-12-01,2.5,3.0498857,1993-02-01,17.861618
13359,7.0,80.0,1992-12-01,3.5,2.992156,1993-03-01,75.33576
13360,7.0,80.0,1992-12-01,4.5,7.12267,1993-04-01,127.469574
13361,7.0,80.0,1992-12-01,5.5,9.73922,1993-05-01,435.90488
13362,7.0,80.0,1992-12-01,6.5,7.0095344,1993-06-01,185.26366
13363,7.0,80.0,1992-12-01,7.5,5.4312267,1993-07-01,164.74069
13364,7.0,80.0,1992-12-01,8.5,3.5027015,1993-08-01,53.831776
13365,7.0,80.0,1992-12-01,9.5,3.6606922,1993-09-01,170.62268
13366,7.0,80.0,1992-12-01,10.5,4.9365187,1993-10-01,414.66095
13367,7.0,80.0,1992-12-01,11.5,5.618479,1993-11-01,281.48734
13368,7.0,80.0,1993-01-01,0.5,5.158974,1993-01-01,85.341324
13369,7.0,80.0,1993-01-01,1.5,2.9268298,1993-02-01,17.861618
13370,7.0,80.0,1993-01-01,2.5,2.6059616,1993-03-01,75.33576
13371,7.0,80.0,1993-01-01,3.5,5.904233,1993-04-01,127.469574
13372,7.0,80.0,1993-01-01,4.5,9.272526,1993-05-01,435.90488
13373,7.0,80.0,1993-01-01,5.5,7.620374,1993-06-01,185.26366
13374,7.0,80.0,1993-01-01,6.5,5.8405647,1993-07-01,164.74069
13375,7.0,80.0,1993-01-01,7.5,4.2191677,1993-08-01,53.831776
13376,7.0,80.0,1993-01-01,8.5,3.523892,1993-09-01,170.62268
13377,7.0,80.0,1993-01-01,9.5,4.3780565,1993-10-01,414.66095
13378,7.0,80.0,1993-01-01,10.5,5.4811525,1993-11-01,281.48734
13379,7.0,80.0,1993-01-01,11.5,4.9305353,1993-12-01,196.96489
13380,7.0,80.0,1993-02-01,0.5,3.7459397,1993-02-01,17.861618
13381,7.0,80.0,1993-02-01,1.5,1.3408273,1993-03-01,75.33576
