,latitude,longitude,date of prediction,lead time,predicted precip,time,precip
80,10.0,0.0,1991-07-01,8.5,1.2064996,1992-03-01,
81,10.0,0.0,1991-07-01,9.5,2.7011058,1992-04-01,
82,10.0,0.0,1991-07-01,10.5,3.6846511,1992-05-01,
83,10.0,0.0,1991-07-01,11.5,4.71775,1992-06-01,
84,10.0,0.0,1991-08-01,0.5,10.713711,1991-08-01,
85,10.0,0.0,1991-08-01,1.5,9.347035,1991-09-01,
86,10.0,0.0,1991-08-01,2.5,3.941671,1991-10-01,
87,10.0,0.0,1991-08-01,3.5,0.8755482,1991-11-01,
88,10.0,0.0,1991-08-01,4.5,0.0689554,1991-12-01,
89,10.0,0.0,1991-08-01,5.5,0.14577578,1992-01-01,
90,10.0,0.0,1991-08-01,6.5,0.47038364,1992-02-01,
91,10.0,0.0,1991-08-01,7.5,1.1597018,1992-03-01,
92,10.0,0.0,1991-08-01,8.5,2.8366103,1992-04-01,
93,10.0,0.0,1991-08-01,9.5,4.0326076,1992-05-01,
94,10.0,0.0,1991-08-01,10.5,6.1266813,1992-06-01,
95,10.0,0.0,1991-08-01,11.5,9.170738,1992-07-01,
96,10.0,0.0,1991-09-01,0.5,7.4153757,1991-09-01,
97,10.0,0.0,1991-09-01,1.5,3.2416427,1991-10-01,
98,10.0,0.0,1991-09-01,2.5,0.78623575,1991-11-01,
99,10.0,0.0,1991-09-01,3.5,0.11040957,1991-12-01,
100,10.0,0.0,1991-09-01,4.5,0.03578379,1992-01-01,
101,10.0,0.0,1991-09-01,5.5,0.4454084,1992-02-01,
102,10.0,0.0,1991-09-01,6.5,1.3079194,1992-03-01,
103,10.0,0.0,1991-09-01,7.5,2.8230665,1992-04-01,
104,10.0,0.0,1991-09-01,8.5,3.393065,1992-05-01,
105,10.0,0.0,1991-09-01,9.5,5.3117223,1992-06-01,
106,10.0,0.0,1991-09-01,10.5,7.712382,1992-07-01,
107,10.0,0.0,1991-09-01,11.5,11.709102,1992-08-01,
108,10.0,0.0,1991-10-01,0.5,6.0365763,1991-10-01,
109,10.0,0.0,1991-10-01,1.5,0.49453092,1991-11-01,
110,10.0,0.0,1991-10-01,2.5,0.025610939,1991-12-01,
111,10.0,0.0,1991-10-01,3.5,0.06536527,1992-01-01,
112,10.0,0.0,1991-10-01,4.5,0.2507978,1992-02-01,
113,10.0,0.0,1991-10-01,5.5,1.095591,1992-03-01,
114,10.0,0.0,1991-10-01,6.5,2.873386,1992-04-01,
115,10.0,0.0,1991-10-01,7.5,4.405349,1992-05-01,
116,10.0,0.0,1991-10-01,8.5,4.402133,1992-06-01,
117,10.0,0.0,1991-10-01,9.5,8.394389,1992-07-01,
118,10.0,0.0,1991-10-01,10.5,11.0956745,1992-08-01,
119,10.0,0.0,1991-10-01,11.5,8.553343,1992-09-01,
120,10.0,0.0,1991-11-01,0.5,0.617704,1991-11-01,
121,10.0,0.0,1991-11-01,1.5,0.014729055,1991-12-01,
122,10.0,0.0,1991-11-01,2.5,0.11537629,1992-01-01,
123,10.0,0.0,1991-11-01,3.5,0.37372792,1992-02-01,
124,10.0,0.0,1991-11-01,4.5,1.2751056,1992-03-01,
125,10.0,0.0,1991-11-01,5.5,2.5478835,1992-04-01,
126,10.0,0.0,1991-11-01,6.5,3.3646126,1992-05-01,
127,10.0,0.0,1991-11-01,7.5,4.611067,1992-06-01,
128,10.0,0.0,1991-11-01,8.5,9.341381,1992-07-01,
129,10.0,0.0,1991-11-01,9.5,10.359215,1992-08-01,
130,10.0,0.0,1991-11-01,10.5,9.991461,1992-09-01,
131,10.0,0.0,1991-11-01,11.5,4.3329124,1992-10-01,
132,10.0,0.0,1991-12-01,0.5,0.28118443,1991-12-01,
133,10.0,0.0,1991-12-01,1.5,0.09920302,1992-01-01,
134,10.0,0.0,1991-12-01,2.5,0.28114754,1992-02-01,
135,10.0,0.0,1991-12-01,3.5,1.0535771,1992-03-01,
136,10.0,0.0,1991-12-01,4.5,2.7118144,1992-04-01,
137,10.0,0.0,1991-12-01,5.5,3.611538,1992-05-01,
138,10.0,0.0,1991-12-01,6.5,4.722145,1992-06-01,
139,10.0,0.0,1991-12-01,7.5,6.9988356,1992-07-01,
140,10.0,0.0,1991-12-01,8.5,10.7579565,1992-08-01,
141,10.0,0.0,1991-12-01,9.5,9.290525,1992-09-01,
142,10.0,0.0,1991-12-01,10.5,4.033353,1992-10-01,
143,10.0,0.0,1991-12-01,11.5,0.79869056,1992-11-01,
144,10.0,0.0,1992-01-01,0.5,0.048559964,1992-01-01,
145,10.0,0.0,1992-01-01,1.5,0.41481534,1992-02-01,
146,10.0,0.0,1992-01-01,2.5,0.9952539,1992-03-01,
147,10.0,0.0,1992-01-01,3.5,2.9021888,1992-04-01,
148,10.0,0.0,1992-01-01,4.5,4.3313775,1992-05-01,
149,10.0,0.0,1992-01-01,5.5,4.3217344,1992-06-01,
150,10.0,0.0,1992-01-01,6.5,8.315344,1992-07-01,
151,10.0,0.0,1992-01-01,7.5,9.994513,1992-08-01,
152,10.0,0.0,1992-01-01,8.5,9.316108,1992-09-01,
153,10.0,0.0,1992-01-01,9.5,4.254691,1992-10-01,
154,10.0,0.0,1992-01-01,10.5,0.7512759,1992-11-01,
155,10.0,0.0,1992-01-01,11.5,0.087205045,1992-12-01,
156,10.0,0.0,1992-02-01,0.5,0.16762334,1992-02-01,
157,10.0,0.0,1992-02-01,1.5,1.4008749,1992-03-01,
158,10.0,0.0,1992-02-01,2.5,2.7735648,1992-04-01,
159,10.0,0.0,1992-02-01,3.5,3.6025672,1992-05-01,
160,10.0,0.0,1992-02-01,4.5,5.267839,1992-06-01,
161,10.0,0.0,1992-02-01,5.5,7.1294355,1992-07-01,
162,10.0,0.0,1992-02-01,6.5,11.053428,1992-08-01,
163,10.0,0.0,1992-02-01,7.5,8.244769,1992-09-01,
164,10.0,0.0,1992-02-01,8.5,3.943266,1992-10-01,
165,10.0,0.0,1992-02-01,9.5,0.7304477,1992-11-01,
166,10.0,0.0,1992-02-01,10.5,0.023277916,1992-12-01,
